nr_contrato,cnpj,nr_orgao,nr_ug,quant_terceirizados
000012017,05.234.289/0001-27,36212,253002,6
000012018,01.248.111/0001-84,25000,170177,2
000012018,03.399.966/0001-31,44207,443048,1
000012018,10.446.347/0002-05,22000,130023,10
000012018,11.399.787/0001-22,26405,158959,4
000012019,01.248.111/0001-84,44207,443034,3
000012019,01.629.026/0001-66,26432,158395,1
000012019,02.531.343/0001-08,36000,250036,6
000012019,04.795.101/0001-57,15000,080016,4
000012019,05.510.654/0004-21,35000,240010,31
000012019,05.870.404/0001-50,26408,158293,28
000012019,07.795.609/0001-43,36201,254422,1
000012019,12.578.927/0001-92,22000,130062,1
000012019,15.712.329/0002-33,36211,255000,9
000012019,23.370.473/0001-86,26417,155895,7
000012019,39.272.265/0001-84,26406,158885,16
000012020,01.426.994/0001-75,25000,170217,1
000012020,02.425.466/0001-64,26417,158470,3
000012020,02.966.930/0001-20,39252,393031,1
000012020,03.229.363/0001-91,26432,154675,4
000012020,03.229.363/0001-91,26432,158400,8
000012020,03.265.996/0001-55,26406,158418,10
000012020,03.265.996/0001-55,26406,158420,10
000012020,03.265.996/0001-55,26406,158429,4
000012020,03.325.436/0001-49,26402,152805,1
000012020,03.750.757/0001-90,26420,158269,17
000012020,04.201.934/0001-42,44000,440001,13
000012020,04.558.234/0001-00,26421,158376,4
000012020,05.379.371/0001-40,26249,153166,6
000012020,05.488.891/0001-90,30802,200118,8
000012020,07.260.872/0001-38,26402,152804,1
000012020,07.990.965/0001-18,26404,158435,13
000012020,09.198.704/0001-95,30108,200358,12
000012020,09.406.386/0001-00,22000,130090,10
000012020,10.013.974/0001-63,26279,154048,27
000012020,10.330.342/0001-23,26402,152815,1
000012020,15.014.790/0001-31,26236,150182,1
000012020,17.249.507/0001-86,26258,150149,4
000012020,17.259.378/0001-07,63000,110096,5
000012020,21.938.382/0001-79,26442,158634,4
000012020,24.329.959/0001-33,22000,130074,14
000012020,37.077.716/0001-05,53207,533018,4
000012020,79.894.168/0001-48,26438,158516,6
000012021,01.264.336/0001-24,26247,153164,76
000012021,02.425.466/0001-64,26431,158357,2
000012021,06.059.231/0001-57,25000,170133,8
000012021,06.988.305/0001-30,14000,070017,59
000012021,07.094.346/0001-45,22204,193002,1
000012021,07.260.872/0001-38,26402,152800,1
000012021,07.271.878/0001-00,22000,130070,54
000012021,09.019.150/0001-11,26431,158354,3
000012021,09.228.233/0001-10,22000,130088,6
000012021,10.364.152/0002-08,26436,158340,8
000012021,10.581.285/0001-55,63000,110099,1
000012021,11.399.787/0001-22,26431,158360,6
000012021,11.818.593/0001-14,20411,343026,6
000012021,12.187.221/0001-08,30108,200340,13
000012021,12.202.614/0001-35,22000,130028,3
000012021,13.019.295/0008-66,25000,170035,7
000012021,13.739.782/0002-08,26406,158427,6
000012021,14.151.000/0001-05,22000,130094,12
000012021,15.501.021/0001-68,26432,154674,1
000012021,17.469.843/0001-34,62201,113217,3
000012021,19.107.299/0001-06,26403,155440,8
000012021,20.345.453/0001-67,30108,200380,34
000012021,23.501.536/0001-96,36211,255000,9
000012021,24.930.315/0001-04,52121,160088,6
000012021,34.939.967/0001-55,22000,130100,5
000012021,42.035.097/0002-07,26418,158477,10
000012021,77.998.912/0018-77,26406,158885,4
000012021,79.283.065/0003-03,26432,156542,2
000012022,00.323.090/0001-51,26418,158477,12
000012022,00.976.595/0001-15,26436,158126,1
000012022,02.567.270/0001-04,26417,158470,1
000012022,02.685.728/0001-20,63000,110096,10
